0001/01/01 00:00:00.000  [M] [log.go:191]  [HTTP] http: TLS handshake error from 127.0.0.1:56924: remote error: tls: unknown certificate
2021/08/15 10:56:03.673  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:56:03] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.088199  Go-http-client/1.1
2021/08/15 10:56:13.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:56:13] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000545  Go-http-client/1.1
2021/08/15 10:56:13.610  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:56:13] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.026105  Go-http-client/1.1
2021/08/15 10:56:23.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:56:23] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000542  Go-http-client/1.1
2021/08/15 10:56:23.631  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:56:23] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.045913  Go-http-client/1.1
2021/08/15 10:56:33.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:56:33] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000000  Go-http-client/1.1
2021/08/15 10:56:33.628  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:56:33] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.043179  Go-http-client/1.1
2021/08/15 10:56:43.587  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:56:43] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000894  Go-http-client/1.1
2021/08/15 10:56:43.616  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:56:43] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.029418  Go-http-client/1.1
2021/08/15 10:56:53.587  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:56:53] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000539  Go-http-client/1.1
2021/08/15 10:56:53.625  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:56:53] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.039482  Go-http-client/1.1
2021/08/15 10:57:03.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:57:03] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000608  Go-http-client/1.1
2021/08/15 10:57:03.623  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:57:03] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.038062  Go-http-client/1.1
2021/08/15 10:57:13.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:57:13] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001405  Go-http-client/1.1
2021/08/15 10:57:13.617  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:57:13] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.032495  Go-http-client/1.1
2021/08/15 10:57:23.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:57:23] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000555  Go-http-client/1.1
2021/08/15 10:57:23.655  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:57:23] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.069414  Go-http-client/1.1
2021/08/15 10:57:33.587  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:57:33] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000544  Go-http-client/1.1
2021/08/15 10:57:33.617  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:57:33] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.030533  Go-http-client/1.1
2021/08/15 10:57:43.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:57:43] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000723  Go-http-client/1.1
2021/08/15 10:57:43.621  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:57:43] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.035921  Go-http-client/1.1
2021/08/15 10:57:53.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:57:53] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000533  Go-http-client/1.1
2021/08/15 10:57:53.616  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:57:53] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.030572  Go-http-client/1.1
2021/08/15 10:58:03.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:58:03] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000557  Go-http-client/1.1
2021/08/15 10:58:03.612  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:58:03] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.027414  Go-http-client/1.1
2021/08/15 10:58:13.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:58:13] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000537  Go-http-client/1.1
2021/08/15 10:58:13.617  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:58:13] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.032546  Go-http-client/1.1
2021/08/15 10:58:23.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:58:23] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000516  Go-http-client/1.1
2021/08/15 10:58:23.654  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:58:23] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.068461  Go-http-client/1.1
