0001/01/01 00:00:00.000  [M] [log.go:191]  [HTTP] http: TLS handshake error from [::1]:62461: remote error: tls: bad certificate
2021/08/08 18:48:46.126  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:48:46] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001768  Go-http-client/1.1
2021/08/08 18:48:46.132  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:48:46] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.002999  Go-http-client/1.1
2021/08/08 18:48:56.133  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:48:56] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.008143  Go-http-client/1.1
2021/08/08 18:48:56.153  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:48:56] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.016813  Go-http-client/1.1
2021/08/08 18:49:06.127  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:49:06] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001563  Go-http-client/1.1
2021/08/08 18:49:06.131  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:49:06] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.002978  Go-http-client/1.1
2021/08/08 18:49:16.126  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:49:16] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001459  Go-http-client/1.1
2021/08/08 18:49:16.130  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:49:16] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.002728  Go-http-client/1.1
2021/08/08 18:49:26.126  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:49:26] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001692  Go-http-client/1.1
2021/08/08 18:49:26.130  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:49:26] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.003932  Go-http-client/1.1
2021/08/08 18:49:36.126  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:49:36] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001225  Go-http-client/1.1
2021/08/08 18:49:36.127  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:49:36] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.000554  Go-http-client/1.1
2021/08/08 18:49:46.125  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:49:46] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001055  Go-http-client/1.1
2021/08/08 18:49:46.128  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:49:46] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.001728  Go-http-client/1.1
2021/08/08 18:49:56.152  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:49:56] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.017834  Go-http-client/1.1
2021/08/08 18:49:56.154  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:49:56] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.019673  Go-http-client/1.1
2021/08/08 18:50:06.200  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:50:06] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.043211  Go-http-client/1.1
2021/08/08 18:50:06.225  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:50:06] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.066726  Go-http-client/1.1
2021/08/08 18:50:16.125  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:50:16] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000607  Go-http-client/1.1
2021/08/08 18:50:16.128  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:50:16] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.001330  Go-http-client/1.1
2021/08/08 18:50:26.133  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:50:26] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.008508  Go-http-client/1.1
2021/08/08 18:50:26.134  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:50:26] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.008729  Go-http-client/1.1
2021/08/08 18:50:36.127  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:50:36] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.002903  Go-http-client/1.1
2021/08/08 18:50:36.136  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:50:36] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.008024  Go-http-client/1.1
2021/08/08 18:50:46.139  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:50:46] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.004530  Go-http-client/1.1
2021/08/08 18:50:46.150  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:50:46] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.015879  Go-http-client/1.1
2021/08/08 18:50:56.241  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:50:56] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.073813  Go-http-client/1.1
2021/08/08 18:50:56.363  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:50:56] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.196129  Go-http-client/1.1
2021/08/08 18:51:06.132  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:51:06] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.006383  Go-http-client/1.1
2021/08/08 18:51:06.136  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:51:06] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.010804  Go-http-client/1.1
2021/08/08 18:51:16.127  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:51:16] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.002273  Go-http-client/1.1
2021/08/08 18:51:16.138  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:51:16] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.009966  Go-http-client/1.1
2021/08/08 18:51:26.127  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:51:26] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.002266  Go-http-client/1.1
2021/08/08 18:51:26.128  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:51:26] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.002882  Go-http-client/1.1
2021/08/08 18:51:36.141  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:51:36] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.015952  Go-http-client/1.1
2021/08/08 18:51:36.161  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:51:36] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.026392  Go-http-client/1.1
2021/08/08 18:51:46.154  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:51:46] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.011962  Go-http-client/1.1
2021/08/08 18:51:46.155  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:51:46] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.006735  Go-http-client/1.1
2021/08/08 18:51:56.143  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:51:56] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.004549  Go-http-client/1.1
2021/08/08 18:51:56.150  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:51:56] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.011536  Go-http-client/1.1
2021/08/08 18:52:06.135  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:52:06] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.009536  Go-http-client/1.1
2021/08/08 18:52:06.137  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:52:06] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.010705  Go-http-client/1.1
2021/08/08 18:52:16.153  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:52:16] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.016931  Go-http-client/1.1
2021/08/08 18:52:16.172  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:52:16] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.036023  Go-http-client/1.1
2021/08/08 18:52:26.154  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:52:26] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.014224  Go-http-client/1.1
2021/08/08 18:52:26.157  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:52:26] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.017806  Go-http-client/1.1
2021/08/08 18:52:36.147  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:52:36] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.018471  Go-http-client/1.1
2021/08/08 18:52:36.157  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:52:36] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.028346  Go-http-client/1.1
2021/08/08 18:52:46.129  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:52:46] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.003953  Go-http-client/1.1
